dt_date,Parking
2022/8/17,10
2022/8/17,5
2022/8/17,1
2022/8/17,2
2022/8/17,0
2022/8/17,0
2022/8/17,0
2022/8/18,0
2022/8/18,0
2022/8/18,0
2022/8/18,0
2022/8/18,0
2022/8/18,0
2022/8/18,0
2022/8/18,8
2022/8/18,21
2022/8/18,32
2022/8/18,17
2022/8/18,20
2022/8/18,15
2022/8/18,23
2022/8/18,42
2022/8/18,47
2022/8/18,30
2022/8/18,8
2022/8/18,1
2022/8/18,7
2022/8/18,3
2022/8/18,0
2022/8/18,0
2022/8/18,0
2022/8/19,0
2022/8/19,0
2022/8/19,0
2022/8/19,0
2022/8/19,0
2022/8/19,0
2022/8/19,0
2022/8/19,12
2022/8/19,25
2022/8/19,54
2022/8/19,57
2022/8/19,53
2022/8/19,36
2022/8/19,56
2022/8/19,44
2022/8/19,65
2022/8/19,78
2022/8/19,74
2022/8/19,26
2022/8/19,25
2022/8/19,11
2022/8/19,0
2022/8/19,0
2022/8/19,0
2022/8/20,0
2022/8/20,0
2022/8/20,0
2022/8/20,0
2022/8/20,0
2022/8/20,0
2022/8/20,0
2022/8/20,33
2022/8/20,60
2022/8/20,60
2022/8/20,80
2022/8/20,73
2022/8/20,54
2022/8/20,92
2022/8/20,112
2022/8/20,159
2022/8/20,179
2022/8/20,133
2022/8/20,43
2022/8/20,41
2022/8/20,20
2022/8/20,0
2022/8/20,0
2022/8/20,0
2022/8/21,0
2022/8/21,0
2022/8/21,0
2022/8/21,0
2022/8/21,0
2022/8/21,0
2022/8/21,0
2022/8/21,42
2022/8/21,72
2022/8/21,99
2022/8/21,110
2022/8/21,83
2022/8/21,83
2022/8/21,96
2022/8/21,149
2022/8/21,139
2022/8/21,129
2022/8/21,138
2022/8/21,28
2022/8/21,19
2022/8/21,9
2022/8/21,0
2022/8/21,0
2022/8/21,0
2022/8/22,0
2022/8/22,0
2022/8/22,0
2022/8/22,0
2022/8/22,0
2022/8/22,0
2022/8/22,0
2022/8/22,10
2022/8/22,36
2022/8/22,68
2022/8/22,51
2022/8/22,49
2022/8/22,32
2022/8/22,46
2022/8/22,58
2022/8/22,68
2022/8/22,49
2022/8/22,30
2022/8/22,16
2022/8/22,11
2022/8/22,4
2022/8/22,0
2022/8/22,0
2022/8/22,0
2022/8/23,0
2022/8/23,0
2022/8/23,0
2022/8/23,0
2022/8/23,0
2022/8/23,0
2022/8/23,0
2022/8/23,12
2022/8/23,14
2022/8/23,34
2022/8/23,46
2022/8/23,34
2022/8/23,22
2022/8/23,41
2022/8/23,38
2022/8/23,71
2022/8/23,35
2022/8/23,41
2022/8/23,12
2022/8/23,17
2022/8/23,13
2022/8/23,0
2022/8/23,0
2022/8/23,0
2022/8/24,0
2022/8/24,0
2022/8/24,0
2022/8/24,0
2022/8/24,0
2022/8/24,0
2022/8/24,0
2022/8/24,11
2022/8/24,22
2022/8/24,27
2022/8/24,44
2022/8/24,36
2022/8/24,49
2022/8/24,39
2022/8/24,67
2022/8/24,56
2022/8/24,50
2022/8/24,34
2022/8/24,15
2022/8/24,8
2022/8/24,6
2022/8/24,0
2022/8/24,0
2022/8/24,0
2022/8/25,0
2022/8/25,0
2022/8/25,0
2022/8/25,0
2022/8/25,0
2022/8/25,0
2022/8/25,0
2022/8/25,9
2022/8/25,15
2022/8/25,33
2022/8/25,29
2022/8/25,37
2022/8/25,25
2022/8/25,42
2022/8/25,38
2022/8/25,43
2022/8/25,56
2022/8/25,34
2022/8/25,25
2022/8/25,16
2022/8/25,11
2022/8/25,0
2022/8/25,0
2022/8/25,0
